-17.071,7.5302
-17.711,7.2224
-14.278,9.3489
-10.074,8.45
-7.9045,4.7751
-5.8493,2.1766
-3.3082,-1.3079
-1.9276,-2.6174
1.0808,-6.2258
3.7063,-8.9741
4.6309,-8.6189
-6.6969,9.3646
-1.8773,10.908
0.15096,10.008
4.0122,9.2507
7.0475,11.684
8.3538,11.431
-7.2548,7.003
-3.2792,6.7762
-1.0442,4.8158
2.2192,3.6663
1.9068,3.9012
-9.5071,6.0939
-7.7178,2.3114
-6.4152,-2.5608
-6.6441,-7.0905
-5.8373,-9.44
-6.939,-12.339
-6.447,-11.522
-9.8239,5.5165
-10.241,2.4263
-10.194,-1.0132
-11.532,-3.0847
-1.6472,-5.7832
-0.45401,-6.9858
2.8932,3.2078
6.7343,-0.32075
5.9022,0.18145
-3.8785,11.235
-4.2677,10.706
0.76205,5.7438
5.4745,5.9085
10.805,5.7239
14.919,5.8924
15.255,5.7157
8.1332,9.694
7.9906,8.9818
-5.3842,11.521
-3.4303,14.183
-2.9057,13.699
6.0929,11.948
5.8113,12.883
-12.531,2.1706
-15.059,0.23621
-14.801,0.54435
3.251,-9.1988
3.5868,-12.856
5.8217,-12.91
5.993,-13.155
9.8066,4.1734
12.912,2.8172
15.376,3.1604
17.452,-1.412
15.255,0.18145
6.0699,-4.6867
6.4297,4.0191
7.1292,3.7403
6.6048,8.422
2.9306,-4.9841
2.223,-0.57014
0.99706,-12.255
-2.4516,-11.621
-1.1126,-4.7824
-4.408,-2.7548
-7.0695,-0.5227
2.6128,-3.7435
1.0978,1.3033
-2.3384,7.5621
3.6129,5.1478
-0.89662,6.211
2.8747,6.9383
-7.2568,0.95368
4.9711,9.1638
1.4913,-0.4772
-3.9191,-8.9688
1.8185,7.8208
-5.7681,2.3254
-1.1021,11.447
-7.7621,4.4402
6.9345,-7.716
1.4988,2.1864
-1.2589,-2.3832
-3.3508,-5.6964
-1.2774,1.767
-5.9034,-0.73662
4.0944,2.167
-1.2497,3.4837
5.4894,-1.9905
-4.6491,3.9849
-7.3402,-0.13544
-3.5064,-0.044302
-7.9521,8.4488
4.4911,5.4398
2.9885,-0.52918
-5.523,4.069
16.704,3.868
